;4. close;squared;root;nasdaq_close;squared_nq;root_nq;Value;squared_oil;root_oil;1 YR;squared_tr;root_tr
2007-12-31;;;;;;;90.7;8226.49;9.5236547606473;3.34;11.1556;1.8275666882497066
2008-01-02;1447.16;2094272.0656000003;38.04155622473928;48.23;2326.1328999999996;6.944782214007866;91.82;8430.9124;9.582275303913992;3.17;10.0489;1.7804493814764855
2008-01-03;1447.16;2094272.0656000003;38.04155622473928;47.33;2240.1288999999997;6.879680225126746;93.67;8774.0689;9.67832630158748;3.13;9.796899999999999;1.7691806012954132
2008-01-04;1411.63;1992699.2569000004;37.57166485531351;44.64;1992.7296000000001;6.681317235396026;93.38;8719.8244;9.663332758422428;3.06;9.3636;1.7492855684535902
2008-01-07;1416.1801;2005566.0756360102;37.63216842011632;45.57;2076.6249000000003;6.750555532695069;91.72;8412.5584;9.577055915050304;3.11;9.672099999999999;1.7635192088548397
2008-01-08;1390.1899;1932627.9580620101;37.28525043499105;43.52;1893.9904000000004;6.596969000988257;91.67;8403.3889;9.574445153636841;3.09;9.5481;1.7578395831246945
2008-01-09;1409.13;1985647.3569000002;37.53838035930693;44.78;2005.2484000000002;6.691786009728643;91.98;8460.3204;9.590620417887468;3.04;9.2416;1.7435595774162693
2008-01-10;1420.33;2017337.3088999998;37.687265753832556;46.02;2117.8404000000005;6.783804242458652;89.71;8047.884099999999;9.471536306217699;3.04;9.2416;1.7435595774162693
2008-01-11;1401.02;1962857.0404;37.4302017093149;46.1;2125.21;6.789698078707183;88.36;7807.4896;9.4;2.91;8.468100000000002;1.705872210923198
2008-01-14;1416.25;2005764.0625;37.63309713536743;46.55;2166.9024999999997;6.822756041366275;88.51;7834.020100000001;9.407975340103736;2.9;8.41;1.70293863659264
2008-01-15;1380.95;1907022.9025;37.161135612357164;44.18;1951.8724;6.646803743153547;88.33;7802.1889;9.398404119849284;2.87;8.2369;1.6941074346097416
2008-01-16;1373.2;1885678.2400000002;37.05671329192593;40.86;1669.5396;6.3921827257987545;86.28;7444.2384;9.288702815786497;2.86;8.179599999999999;1.6911534525287764
2008-01-17;1333.25;1777555.5625;36.513696060519536;37.76;1425.8175999999999;6.144916598294887;86.14;7420.0996000000005;9.281163720137686;2.81;7.896100000000001;1.676305461424021
2008-01-18;1325.1899;1756128.2710620102;36.40315783005645;37.45;1402.5025000000003;6.119640512317697;85.91;7380.5280999999995;9.268764750493995;2.69;7.2360999999999995;1.6401219466856725
2008-01-21;;;;;;;85.06;7235.203600000001;9.222797840135064;;;
2008-01-22;1310.5;1717410.25;36.20082871979591;40.01;1600.8001;6.325345840347388;83.7;7005.6900000000005;9.148770409186143;2.29;5.2441;1.5132745950421556
2008-01-23;1338.6;1791849.9599999997;36.58688289537659;41.5;1722.25;6.442049363362563;84.48;7136.870400000001;9.191300234460845;2.19;4.7961;1.4798648586948742
2008-01-24;1352.0699;1828093.01448601;36.770503124107506;43.94;1930.7235999999998;6.62872536767062;84.42;7126.736400000001;9.188035698668132;2.4;5.76;1.5491933384829668
2008-01-25;1330.61;1770522.9720999997;36.47752732847993;42.98;1847.2803999999996;6.555913361233506;86.87;7546.396900000001;9.320407716403826;2.34;5.475599999999999;1.5297058540778354
2008-01-28;1353.96;1833207.6816;36.796195455508716;44.07;1942.1649;6.6385239323211;87.01;7570.740100000001;9.327915093953203;2.3;5.289999999999999;1.51657508881031
2008-01-29;1362.3;1855861.2899999998;36.90934840931224;45.49;2069.3401000000003;6.7446274915669;88.2;7779.240000000001;9.391485505499118;2.33;5.4289000000000005;1.5264337522473748
2008-01-30;1355.8101;1838221.0272620097;36.821326700704304;44.65;1993.6225;6.682065548915245;88.59;7848.1881;9.412226091632096;2.3;5.289999999999999;1.51657508881031
2008-01-31;1378.55;1900400.1024999998;37.128829768792876;46.27;2140.9129000000003;6.802205524680947;87.92;7729.9264;9.376566535784834;2.11;4.4521;1.452583904633395
2008-02-01;1395.42;1947196.9764000003;37.35532090613063;45.83;2100.3889;6.769785816405125;87.5;7656.25;9.354143466934854;2.13;4.536899999999999;1.4594519519326423
2008-02-04;1380.8199;1906663.5962360098;37.15938508640852;45.67;2085.7489;6.757958271549182;86.51;7483.980100000001;9.301075206662938;2.17;4.7089;1.4730919862656235
2008-02-05;1336.64;1786606.4896000002;36.560087527247525;42.03;1766.5209;6.483054835492293;86.01;7397.7201000000005;9.274157643689264;2.06;4.2436;1.4352700094407325
2008-02-06;1326.45;1759469.6025;36.420461282087025;40.16;1612.8255999999997;6.337191807101943;84.66;7167.315599999999;9.201086892318754;2.05;4.2025;1.4317821063276353
2008-02-07;1336.91;1787328.3481000003;36.563779892128224;40.08;1606.4063999999998;6.330876716537765;84.63;7162.236899999999;9.19945650568554;2.08;4.3264000000000005;1.4422205101855958
2008-02-08;1331.29;1772333.0640999998;36.48684694516642;40.77;1662.1929000000002;6.385138996137829;86.1;7413.209999999999;9.279008567729637;2.05;4.2025;1.4317821063276353
2008-02-11;1339.13;1793269.1569000003;36.59412521156914;41.11;1690.0321;6.411708040764177;89.01;7922.780100000001;9.434511116109833;2.06;4.2436;1.4352700094407325
2008-02-12;1348.86;1819423.2995999998;36.726829430268005;41.75;1743.0625;6.461423991660043;89.63;8033.536899999999;9.467312184564317;2.06;4.2436;1.4352700094407325
2008-02-13;1367.21;1869263.1841000002;36.97580289865252;42.21;1781.6841000000002;6.496922348312315;89.48;8006.670400000001;9.459386872308373;2.03;4.120899999999999;1.4247806848775006
2008-02-14;1348.86;1819423.2995999998;36.726829430268005;42.24;1784.2176000000002;6.499230723708768;90.63;8213.7969;9.519978991573458;2.05;4.2025;1.4317821063276353
2008-02-15;1349.99;1822473.0001;36.74221005873218;41.47;1719.7609;6.439720490828775;91.55;8381.4025;9.568176419778222;2.02;4.0804;1.4212670403551895
2008-02-18;;;;;;;91.21;8319.264099999999;9.550392662084633;;;
2008-02-19;1348.78;1819207.4884;36.725740292062184;41.47;1719.7609;6.439720490828775;92.52;8559.9504;9.618731725128837;2.11;4.4521;1.452583904633395
2008-02-20;1360.03;1849681.6009;36.878584571536905;39.1;1528.8100000000002;6.252999280345393;94.09;8852.928100000001;9.7;2.16;4.6656;1.469693845669907
2008-02-21;1342.53;1802386.8009;36.64055130589604;39.96;1596.8016;6.321392251711643;93.81;8800.3161;9.685556256612214;2.05;4.2025;1.4317821063276353
2008-02-22;1353.11;1830906.6720999996;36.784643535040544;40.4;1632.1599999999999;6.356099432828281;92.48;8552.5504;9.616652224137047;2.08;4.3264000000000005;1.4422205101855958
2008-02-25;1371.8;1881835.24;37.037818510274064;40.59;1647.5481000000002;6.371028174478591;93.49;8740.380099999998;9.669022701390249;2.13;4.536899999999999;1.4594519519326423
2008-02-26;1381.29;1907962.0640999998;37.16571000263549;41.1;1689.21;6.410928169929843;93.96;8828.4816;9.693296652842108;2.07;4.2848999999999995;1.4387494569938157
2008-02-27;1380.02;1904455.2004;37.14862043198912;41.58;1728.8963999999999;6.448255578061403;95.03;9030.7009;9.748333190858835;2.02;4.0804;1.4212670403551895
2008-02-28;1367.6801;1870548.8559360101;36.9821592122472;42.87;1837.8368999999998;6.54751861394834;94.87;9000.316900000002;9.740123202506219;1.92;3.6864;1.3856406460551018
2008-02-29;1330.63;1770576.1969000003;36.47780146883855;41.51;1723.0801;6.442825467137846;96.35;9283.322499999998;9.81580358401695;1.77;3.1329000000000002;1.3304134695650072
2008-03-03;1331.34;1772466.1955999997;36.48753211714928;40.27;1621.6729000000003;6.345864795282043;97.12;9432.2944;9.854947995803936;1.74;3.0276;1.3190905958272918
2008-03-04;1326.75;1760265.5625;36.42457961322272;39.58;1566.5764;6.291263784010332;96.13;9240.9769;9.804590761474953;1.72;2.9583999999999997;1.3114877048604001
2008-03-05;1333.7;1778755.6900000002;36.51985761198967;40.36;1628.9296;6.352952069707436;95.86;9189.1396;9.79081201943945;1.72;2.9583999999999997;1.3114877048604001
2008-03-06;1304.34;1701302.8355999999;36.11564757830046;38.79;1504.6641;6.228161847608008;98.34;9670.7556;9.916652661054536;1.59;2.5281000000000002;1.2609520212918492
2008-03-07;1293.37;1672805.9568999996;35.96345367174849;37.79;1428.0841;6.1473571557214735;99.0;9801.0;9.9498743710662;1.55;2.4025000000000003;1.2449899597988732
2008-03-10;1273.37;1621471.1568999998;35.684310277767736;35.86;1285.9396;5.988321968631947;99.48;9896.270400000001;9.973966111833347;1.46;2.1315999999999997;1.2083045973594573
2008-03-11;1320.65;1744116.4225000003;36.340748478808194;39.09;1528.0281000000002;6.252199612936235;100.57;10114.324899999998;10.028459502834918;1.67;2.7889;1.2922847983320085
2008-03-12;1308.77;1712878.9128999999;36.17692634815733;38.73;1500.0128999999997;6.223343153000644;101.38;10277.9044;10.0687635785135;1.58;2.4964000000000004;1.2569805089976536
2008-03-13;1315.48;1730487.6304000001;36.26954645429137;40.47;1637.8209;6.361603571427569;102.39;10483.7121;10.118794394590692;1.54;2.3716;1.2409673645990857
2008-03-14;1288.14;1659304.6596000004;35.890667310597614;38.63;1492.2769000000003;6.215303693304134;102.88;10584.294399999999;10.142977866484772;1.37;1.8769000000000002;1.1704699910719625
2008-03-17;1276.6;1629707.5599999998;35.729539599608614;36.06;1300.3236000000002;6.004997918400972;101.41;10283.988099999999;10.070253224224304;1.32;1.7424000000000002;1.1489125293076057
2008-03-18;1330.74;1770868.9476;36.47930920398576;39.49;1559.4601000000002;6.284106937345991;100.1;10020.009999999998;10.00499875062461;1.4;1.9599999999999997;1.1832159566199232
2008-03-19;1298.42;1685894.4964000003;36.03359543537114;37.9;1436.4099999999999;6.156297588648554;99.97;9994.0009;9.998499887483122;1.33;1.7689000000000001;1.1532562594670797
2008-03-20;1329.51;1767596.8401;36.462446434653835;39.68;1574.5024;6.299206299209449;96.1;9235.21;9.803060746521975;1.33;1.7689000000000001;1.1532562594670797
2008-03-24;1349.88;1822176.0144000002;36.74071311229547;41.36;1710.6496;6.43117407632541;96.15;9244.8225;9.805610638812864;1.68;2.8223999999999996;1.296148139681572
2008-03-25;1352.99;1830581.9401;36.78301238343592;41.7;1738.8900000000003;6.457553716385176;96.49;9310.320099999999;9.822932352408825;1.64;2.6895999999999995;1.2806248474865698
2008-03-26;1341.13;1798629.6769000003;36.62144180667932;41.67;1736.3889000000001;6.455230437405004;98.42;9686.4964;9.920685460188727;1.56;2.4336;1.2489995996796797
2008-03-27;1325.76;1757639.5776;36.41098735272088;39.4;1552.36;6.276941930590086;100.36;10072.1296;10.017983829094554;1.57;2.4649;1.2529964086141667
2008-03-28;1315.22;1729803.6484;36.26596200295809;38.79;1504.6641;6.228161847608008;99.77;9954.052899999999;9.988493379884677;1.56;2.4336;1.2489995996796797
2008-03-31;1322.7;1749535.29;36.36894279464279;38.66;1494.5955999999996;6.217716622683925;98.63;9727.8769;9.931263766510282;1.55;2.4025000000000003;1.2449899597988732
2008-04-01;1370.1801;1877393.5064360101;37.01594386207111;41.08;1687.5664;6.4093681435848255;95.75;9168.0625;9.785192895390463;1.62;2.6244000000000005;1.2727922061357855
2008-04-02;1367.53;1870138.3009;36.980129799664034;41.69;1738.0560999999998;6.456779382943171;96.48;9308.3904;9.82242332624694;1.67;2.7889;1.2922847983320085
2008-04-03;1369.3101;1875010.1499620099;37.0041903032616;41.35;1709.8225000000002;6.430396566309111;98.63;9727.8769;9.931263766510282;1.68;2.8223999999999996;1.296148139681572
2008-04-04;1370.4;1877996.1600000001;37.01891408455953;40.86;1669.5396;6.3921827257987545;98.63;9727.8769;9.931263766510282;1.63;2.6569;1.2767145334803705
2008-04-07;1372.54;1883866.0516;37.04780695263891;40.52;1641.8704000000002;6.3655321851358195;101.16;10233.345599999999;10.057832768544126;1.72;2.9583999999999997;1.3114877048604001
2008-04-08;1365.54;1864699.4915999998;36.953213662684334;40.29;1623.2840999999999;6.34744042902334;101.89;10381.5721;10.094057657849989;1.68;2.8223999999999996;1.296148139681572
2008-04-09;1354.49;1834643.1601;36.80339658238082;39.33;1546.8489;6.271363488110062;102.38;10481.6644;10.118300252512771;1.6;2.5600000000000005;1.2649110640673518
2008-04-10;1360.55;1851096.3025;36.88563405988841;38.87;1510.8768999999998;6.234580980306535;103.74;10761.987599999999;10.185283501208987;1.61;2.5921000000000003;1.2688577540449522
2008-04-11;1332.83;1776435.8088999998;36.507944340923935;38.15;1455.4225;6.176568626672903;103.67;10747.4689;10.181846590869458;1.52;2.3104;1.2328828005937953
2008-04-14;1328.3199;1764433.7567360098;36.44612325062845;38.25;1463.0625;6.18465843842649;104.02;10820.160399999999;10.19901956072249;1.53;2.3409;1.2369316876852983
2008-04-15;1334.4301;1780703.69178601;36.529852175994364;38.62;1491.5043999999998;6.214499175315739;105.73;11178.832900000001;10.282509421342633;1.56;2.4336;1.2489995996796797
2008-04-16;1364.71;1862433.3841000001;36.94198153862351;39.53;1562.6209000000001;6.287288763847259;106.65;11374.222500000002;10.327148686835104;1.65;2.7224999999999997;1.284523257866513
2008-04-17;1365.5601;1864754.3867120098;36.95348562720437;41.2;1697.4400000000003;6.418722614352485;107.63;11584.2169;10.37448793917078;1.77;3.1329000000000002;1.3304134695650072
2008-04-18;1390.33;1933017.5088999998;37.287129146664;40.61;1649.1721;6.372597586541928;107.75;11610.0625;10.380269746013347;1.85;3.4225000000000003;1.3601470508735443
2008-04-21;1388.17;1927015.9489000002;37.25815347007954;39.68;1574.5024;6.299206299209449;108.93;11865.744900000002;10.436953578511309;1.86;3.4596000000000005;1.3638181696985856
2008-04-22;1375.9399;1893210.6084120101;37.09366387942825;38.62;1491.5043999999998;6.214499175315739;109.92;12082.4064;10.484273937664925;1.84;3.3856;1.3564659966250536
2008-04-23;1379.9301;1904207.08088601;37.147410407725594;37.37;1396.5168999999999;6.11310068623117;111.14;12352.0996;10.54229576515476;1.83;3.3489000000000004;1.3527749258468684
2008-04-24;1388.8199;1928820.71463601;37.266874030430834;37.69;1420.5360999999998;6.139218191268331;110.63;12238.996899999998;10.518079672639868;1.91;3.6481;1.3820274961085253
2008-04-25;1397.84;1953956.6655999997;37.38769851167627;36.85;1357.9225000000001;6.070420084310475;110.01;12102.200100000002;10.488565202161828;1.97;3.8809;1.40356688476182
2008-04-28;1396.37;1949849.1768999996;37.368034467978106;38.27;1464.5929000000003;6.1862751312886175;111.66;12467.9556;10.566929544574432;1.95;3.8024999999999998;1.396424004376894
2008-04-29;1390.9399;1934713.8054120103;37.2953066752373;38.0;1444.0;6.164414002968976;109.86;12069.2196;10.481412118603103;1.94;3.7636;1.3928388277184118
2008-04-30;1385.59;1919859.6480999999;37.22351407376794;36.45;1328.6025000000002;6.037383539249433;107.33;11519.7289;10.360019305001318;1.85;3.4225000000000003;1.3601470508735443
2008-05-01;1409.34;1986239.2355999998;37.54117739229818;37.47;1404.0009;6.121274377121156;105.93;11221.164900000002;10.292230079045066;1.94;3.7636;1.3928388277184118
2008-05-02;1413.9;1999113.2100000002;37.601861656040384;38.21;1460.0041;6.181423784210237;106.93;11434.024900000002;10.340696301506973;1.97;3.8809;1.40356688476182
2008-05-05;1407.49;1981028.1001;37.51652969025787;38.01;1444.7600999999997;6.165225056719341;111.55;12443.4025;10.561723344227493;1.98;3.9204;1.407124727947029
2008-05-06;1418.26;2011461.4276;37.65979288312669;39.27;1542.1329000000003;6.26657801355732;114.69;13153.7961;10.709341716464182;1.96;3.8415999999999997;1.4
2008-05-07;1392.5699;1939250.92638601;37.31715289247024;39.62;1569.7443999999998;6.2944419927424855;115.97;13449.0409;10.768936809174804;1.94;3.7636;1.3928388277184118
2008-05-08;1397.6801;1953509.66193601;37.38556004662763;39.15;1532.7224999999999;6.256996084384263;116.87;13658.5969;10.810642904101496;1.91;3.6481;1.3820274961085253
2008-05-09;1388.28;1927321.3584;37.25962962778884;38.31;1467.6561000000002;6.189507250177513;119.07;14177.664899999998;10.911920087683926;1.91;3.6481;1.3820274961085253
2008-05-12;1403.58;1970036.8164;37.46438308580564;38.28;1465.3584;6.187083319303208;119.65;14316.122500000001;10.938464243210744;2.01;4.040099999999999;1.4177446878757824
2008-05-13;1403.04;1968521.2415999998;37.4571755475503;37.71;1422.0441;6.140846847137616;118.73;14096.8129;10.896329657274508;2.08;4.3264000000000005;1.4422205101855958
2008-05-14;1408.66;1984322.9956000003;37.532119577769656;37.65;1417.5224999999998;6.135959582656978;118.78;14108.688400000001;10.898623766329399;2.11;4.4521;1.452583904633395
2008-05-15;1423.5699;2026551.2601860098;37.73022528424658;37.99;1443.2401000000002;6.163602842493991;118.95;14149.1025;10.90642012761291;2.08;4.3264000000000005;1.4422205101855958
2008-05-16;1425.35;2031622.6224999998;37.75380775498016;37.5;1406.25;6.123724356957945;119.27;14225.3329;10.921080532621303;2.09;4.368099999999999;1.445683229480096
2008-05-19;1426.63;2035273.1569000003;37.77075588335505;36.27;1315.5129000000002;6.022457969965419;119.24;14218.177599999999;10.919706955774958;2.07;4.2848999999999995;1.4387494569938157
2008-05-20;1413.4;1997699.5600000003;37.59521246116319;35.16;1236.2255999999998;5.929586832149437;121.02;14645.8404;11.000909053346454;2.05;4.2025;1.4317821063276353
2008-05-21;1390.71;1934074.3041;37.29222439061527;33.0;1089.0;5.744562646538029;124.45;15487.802500000002;11.155716023635597;2.07;4.2848999999999995;1.4387494569938157
2008-05-22;1394.35;1944211.9224999996;37.340996237379635;32.93;1084.3849;5.738466694161429;127.59;16279.208100000002;11.295574354586844;2.15;4.6225;1.466287829861518
2008-05-23;1375.9301;1893183.64008601;37.09353178116098;33.62;1130.3043999999998;5.79827560572969;126.37;15969.376900000001;11.24144118874444;2.11;4.4521;1.452583904633395
2008-05-26;;;;;;;126.57;16019.964899999999;11.250333328395207;;;
2008-05-27;1385.35;1919194.6224999998;37.22029016544605;33.32;1110.2224;5.772347875864725;125.91;15853.328099999999;11.220962525559026;2.15;4.6225;1.466287829861518
2008-05-28;1390.84;1934435.9055999997;37.29396734057668;33.99;1155.3201000000001;5.830094338859364;123.05;15141.3025;11.092790451459903;2.21;4.8841;1.4866068747318506
2008-05-29;1398.26;1955131.0276;37.39331491055587;34.42;1184.7364000000002;5.866856057549052;124.27;15443.032899999998;11.147645491313401;2.16;4.6656;1.469693845669907
2008-05-30;1400.38;1961064.1444000003;37.421651486806404;35.03;1227.1009000000001;5.918614702783076;121.68;14806.022400000002;11.030865786510141;2.22;4.928400000000001;1.489966442575134
2008-06-02;1385.67;1920081.3489;37.22458864782793;33.7;1135.6900000000003;5.805170109479997;122.09;14905.9681;11.04943437466371;2.17;4.7089;1.4730919862656235
2008-06-03;1377.65;1897919.5225000002;37.116707828146616;33.29;1108.2241;5.769748694700662;121.68;14806.022400000002;11.030865786510141;2.14;4.5796;1.4628738838327795
2008-06-04;1377.2;1896679.84;37.11064537299237;32.27;1041.3529;5.680668974689513;118.55;14054.102499999999;10.88806686239573;2.14;4.5796;1.4628738838327795
2008-06-05;1404.05;1971356.4024999999;37.470655185091175;33.15;1098.9225;5.757603668193912;118.75;14101.5625;10.897247358851684;2.15;4.6225;1.466287829861518
2008-06-06;1360.6801;1851450.3345360102;36.88739757695031;32.46;1053.6516000000001;5.697367813297646;126.09;15898.688100000001;11.228980363327741;2.12;4.494400000000001;1.4560219778561037
2008-06-09;1361.76;1854390.2976;36.902032464350796;32.13;1032.3369000000002;5.668333088307356;130.86;17124.339600000003;11.439405578962571;2.29;5.2441;1.5132745950421556
2008-06-10;1358.4399;1845358.9619120103;36.85701968417957;32.12;1031.6943999999999;5.6674509261219015;128.64;16548.249599999996;11.34195750300626;2.53;6.400899999999999;1.5905973720586866
2008-06-11;1335.49;1783533.5401;36.544356609468444;31.57;996.6649;5.618718715152059;128.88;16610.054399999997;11.3525327570547;2.47;6.100900000000001;1.5716233645501712
2008-06-12;1339.87;1795251.6168999998;36.604234727692365;31.47;990.3608999999999;5.6098128311023;129.75;16835.0625;11.390785749894517;2.62;6.864400000000001;1.6186414056238645
2008-06-13;1360.03;1849681.6009;36.878584571536905;32.3;1043.2899999999997;5.683308895353129;130.51;17032.860099999998;11.424097338520886;2.64;6.969600000000001;1.624807680927192
2008-06-16;1360.14;1849980.8196000003;36.880075921830745;32.95;1085.7025;5.740209055426466;129.77;16840.252900000003;11.391663618629195;2.68;7.182400000000001;1.6370705543744901
2008-06-17;1350.9301;1825012.1350860102;36.75500102026934;32.0;1024.0;5.656854249492381;128.97;16633.2609;11.356495938448619;2.58;6.6564000000000005;1.606237840420901
2008-06-18;1337.8101;1789735.8636620098;36.57608645002907;31.21;974.0641;5.586591089385369;128.44;16496.833599999998;11.33313725320575;2.53;6.400899999999999;1.5905973720586866
2008-06-19;1342.83;1803192.4088999997;36.644644902086306;31.4;985.9599999999999;5.60357029044876;129.44;16754.7136;11.377170122662314;2.58;6.6564000000000005;1.606237840420901
2008-06-20;1317.9301;1736939.7484860101;36.303307011896315;30.31;918.6960999999999;5.505451843400322;128.56;16527.673600000002;11.338430226446693;2.49;6.200100000000001;1.57797338380595
2008-06-23;1318.0;1737124.0;36.30426972134269;29.31;859.0760999999999;5.413871073455665;130.7;17082.489999999998;11.43241006962224;2.57;6.604899999999999;1.6031219541881396
2008-06-24;1314.29;1727358.2041;36.25313779523091;29.04;843.3216;5.388877434122992;131.34;17250.1956;11.460366486286553;2.53;6.400899999999999;1.5905973720586866
2008-06-25;1321.97;1747604.6809;36.358905374062076;30.45;927.2025;5.518151864528558;129.87;16866.2169;11.396051947933548;2.48;6.1504;1.5748015748023623
2008-06-26;1283.15;1646473.9225000003;35.82108317736916;28.57;816.2449;5.345091205957107;130.77;17100.792900000004;11.435471131527551;2.39;5.7121;1.5459624833740306
2008-06-27;1278.38;1634255.4244000004;35.75444028369064;28.28;799.7584;5.317894320123332;135.31;18308.7961;11.632282665066217;2.35;5.522500000000001;1.5329709716755893
2008-06-30;1280.0;1638400.0;35.77708763999664;26.55;704.9025;5.152669211195301;136.03;18504.1609;11.663189958154673;2.36;5.569599999999999;1.5362291495737217
2008-07-01;1284.91;1650993.7081000002;35.845641297094964;26.07;679.6449;5.105878964487897;136.94;18752.563599999998;11.702136557056578;2.38;5.6644;1.5427248620541512
2008-07-02;1261.52;1591432.7104;35.51788281978531;25.46;648.2116000000001;5.045790324617146;137.73;18969.5529;11.735842534730942;2.35;5.522500000000001;1.5329709716755893
2008-07-03;1262.9;1594916.4100000001;35.53730434346421;24.94;622.0036000000001;4.993996395673509;140.73;19804.932899999996;11.862967588255477;2.3;5.289999999999999;1.51657508881031
2008-07-04;;;;;;;140.13;19636.4169;11.837651794169314;;;
2008-07-07;1252.3101;1568280.5865620098;35.38799372668645;24.4;595.3599999999999;4.9396356140913875;138.44;19165.6336;11.766052864066182;2.26;5.107599999999999;1.5033296378372907
2008-07-08;1273.7;1622311.6900000002;35.688933859111;25.34;642.1156;5.033885179461287;135.21;18281.744100000004;11.627983488120371;2.26;5.107599999999999;1.5033296378372907
2008-07-09;1244.6899;1549252.9471620102;35.28016298148295;24.13;582.2569;4.912229636326054;133.16;17731.5856;11.539497389401324;2.21;4.8841;1.4866068747318506
2008-07-10;1253.39;1570986.4921000001;35.40324843852609;23.7;561.6899999999999;4.868264577855234;133.68;17870.3424;11.562006746235708;2.2;4.840000000000001;1.4832396974191326
2008-07-11;1239.49;1536335.4601;35.20639146518711;24.33;591.9488999999999;4.9325449820554095;139.85;19558.0225;11.825819210524063;2.3;5.289999999999999;1.51657508881031
2008-07-14;1228.3;1508720.89;35.04711115056418;24.17;584.1889000000001;4.916299421312742;139.81;19546.8361;11.82412787481597;2.23;4.9729;1.493318452306808
2008-07-15;1214.91;1476006.3081000003;34.855559097509826;24.31;590.9761;4.93051721424842;138.0;19044.0;11.74734012447073;2.15;4.6225;1.466287829861518
2008-07-16;1245.36;1550921.5295999998;35.2896585418448;27.24;742.0175999999999;5.219195340279955;133.09;17712.9481;11.536463929644993;2.16;4.6656;1.469693845669907
2008-07-17;1260.3199;1588406.25033601;35.500984493391165;27.62;762.8644;5.2554733373883655;131.03;17168.8609;11.446833623321343;2.26;5.107599999999999;1.5033296378372907
2008-07-18;1260.6801;1589314.3145360101;35.50605722971786;27.49;755.7000999999999;5.243090691567332;127.93;16366.084900000002;11.310614483749324;2.26;5.107599999999999;1.5033296378372907
2008-07-21;1260.0;1587600.0;35.4964786985977;26.14;683.2996;5.112729212465687;127.72;16312.3984;11.301327355669333;2.3;5.289999999999999;1.51657508881031
2008-07-22;1277.0;1630729.0;35.73513677041127;29.25;855.5625;5.408326913195984;127.43;16238.404900000001;11.288489712977551;2.33;5.4289000000000005;1.5264337522473748
2008-07-23;1282.1899;1644010.9396620102;35.80767934396196;30.4;924.16;5.513619500836088;123.89;15348.7321;11.130588483993108;2.4;5.76;1.5491933384829668
