;PIH;FLWS;FCTY;FCCY;SRCE;VNET;TWOU;DGLD;JOBS;EGHT;AVHI;SHLM;AAON;ABAX;XLRN;ACTA;BIRT;MULT;YPRO;AEGR;MDRX;EPAX;DOX;UHAL;MTGE;CRMT;FOLD;BCOM;BOSC;HAWK;CFFI;CHRW;KOOL;HOTR;PLCE;JRJC;CHOP;HGSH;HTHT;IMOS;DAEG;DJCO;SATS;WATT;INBK;FTLB;QABA;GOOG
2008-01-02;;8.02;;16.0;16.46;;;;18.25;1.0095;39.67;21.01;18.78;34.78;;11.14;7.81;;;;18.81;17.95;34.01;63.1;;12.26;10.34;12.75;1.9;;31.74;51.88;1.73;0.5;24.86;20.65;5.55;;;4.1;6.4;41.25;32.59;;13.6;;;
2008-01-03;;7.63;;16.0;16.58;;;;18.2;1.02;37.11;21.09;18.01;35.76;;11.23;7.66;;;;18.17;17.72;33.53;61.49;;12.13;10.14;12.77;1.9;;32.0;51.95;1.68;0.5;24.13;20.34;5.55;;;3.9;6.6;41.25;35.5;;13.6;;;
2008-01-04;;7.16;;16.0;16.2;;;;18.01;1.02;36.82;21.89;17.62;33.27;;10.74;7.16;;;;17.59;16.74;32.49;60.08;;11.71;10.07;12.376;1.9;;32.17;49.97;1.55;0.75;23.13;18.6;5.55;;;3.69;6.5;41.25;35.25;;13.6;;;
2008-01-07;;6.99;;16.09;17.13;;;;18.3;1.01;37.77;20.94;18.28;31.95;;10.86;7.18;;;;17.44;16.95;31.36;62.66;;11.64;10.59;12.65;1.9;;30.87;50.62;1.53;0.75;23.08;18.15;5.55;;;3.7;6.4;41.25;33.74;;13.6;;;
2008-01-08;;6.59;;15.34;15.62;;;;17.47;1.02;34.95;19.99;17.54;32.05;;10.35;6.89;;;;16.82;16.68;30.98;59.94;;11.4;10.56;12.3;1.9;;31.69;47.36;1.4;0.75;22.16;17.6075;5.55;;;3.61;6.22;41.25;32.0;;13.6;;;
2008-01-09;;6.8;;16.19;16.82;;;;17.21;1.01;35.84;20.52;18.12;32.54;;10.55;7.0;;;;16.1;17.1;30.46;63.05;;11.28;10.8;12.56;1.95;;30.6401;48.09;1.5;0.75;21.88;17.99;5.55;;;3.62;6.2;39.0;32.2;;13.45;;;
2008-01-10;;6.66;;15.16;16.9;;;;17.74;1.0;36.16;20.9;17.95;35.32;;10.71;6.91;;;;16.31;17.4;33.36;66.86;;11.14;10.75;12.3286;1.95;;32.19;48.43;1.96;0.75;19.01;19.35;5.57;;;3.65;6.1;40.25;30.92;;13.5;;;
2008-01-11;;6.6;;15.47;15.98;;;;17.34;0.98;39.65;20.47;16.8;36.51;;10.06;6.47;;;;16.14;16.7;33.04;62.84;;10.9;11.0;11.79;2.05;;32.19;47.45;1.99;0.75;16.93;18.13;5.57;;;3.59;6.1;40.25;31.4;;13.5;;;
2008-01-14;;6.87;;15.5;16.59;;;;17.82;0.99;41.8;20.36;17.5;37.15;;10.34;6.82;;;;16.4;16.9;32.92;67.46;;11.03;10.9;12.01;1.94;;31.99;48.36;2.04;0.75;17.15;18.0;5.57;;;3.71;6.25;39.52;30.2;;13.5;;;
2008-01-15;;6.81;;15.5;15.99;;;;17.2;1.1;38.99;20.22;16.94;37.88;;9.91;6.32;;;;16.09;16.74;32.99;65.95;;10.92;10.52;11.76;2.0;;31.06;47.83;2.0;0.75;16.05;16.22;5.57;;;3.52;6.2;39.52;29.9;;13.5;;;
2008-01-16;;7.06;;15.5;17.05;;;;17.65;1.07;36.67;20.21;16.93;37.33;;10.1;6.56;;;;16.61;17.19;32.1;67.68;;10.87;10.65;12.09;1.99;;30.8;49.0;2.0;0.75;16.37;14.45;5.56;;;3.55;6.25;39.52;29.5;;13.25;;;
2008-01-17;;6.76;;14.23;16.32;;;;16.36;1.14;41.15;19.38;16.16;37.05;;9.57;6.41;;;;15.64;17.01;31.59;65.7;;10.99;10.74;11.66;1.99;;30.8;47.37;1.98;0.75;15.95;12.94;5.56;;;3.45;6.15;39.52;28.96;;13.25;;;
2008-01-18;;6.74;;15.0;15.64;;;;17.38;1.13;39.36;19.03;15.88;35.79;;9.4;6.46;;;;15.74;16.9;31.68;66.4;;11.01;10.71;12.02;1.99;;30.8;48.56;1.84;0.69;15.66;12.68;5.56;;;3.43;6.15;44.0;28.76;;13.25;;;
2008-01-22;;6.65;;15.0;16.36;;;;16.42;1.07;44.28;19.03;16.81;35.13;;9.36;6.15;;;;15.37;16.77;30.95;66.94;;10.3;10.66;11.77;1.97;;30.8001;47.42;1.75;0.69;15.63;12.2;5.56;;;3.365;5.8;44.0;28.72;;12.8;;;
